"project","num_day","name_day","num"
aviata_air,0.0,Sunday   ,93136
aviata_air,1.0,Monday   ,131037
aviata_air,2.0,Tuesday  ,135728
aviata_air,3.0,Wednesday,134648
aviata_air,4.0,Thursday ,138058
aviata_air,5.0,Friday   ,130652
aviata_air,6.0,Saturday ,100929
chocofood,0.0,Sunday   ,177534
chocofood,1.0,Monday   ,157247
chocofood,2.0,Tuesday  ,161964
chocofood,3.0,Wednesday,164607
chocofood,4.0,Thursday ,165775
chocofood,5.0,Friday   ,183827
chocofood,6.0,Saturday ,194533
chocolife,0.0,Sunday   ,36048
chocolife,1.0,Monday   ,35911
chocolife,2.0,Tuesday  ,33916
chocolife,3.0,Wednesday,34947
chocolife,4.0,Thursday ,35062
chocolife,5.0,Friday   ,38378
chocolife,6.0,Saturday ,40552
chocotravel_air,0.0,Sunday   ,16817
chocotravel_air,1.0,Monday   ,33318
chocotravel_air,2.0,Tuesday  ,33774
chocotravel_air,3.0,Wednesday,33061
chocotravel_air,4.0,Thursday ,33614
chocotravel_air,5.0,Friday   ,32291
chocotravel_air,6.0,Saturday ,19713
loyalty,0.0,Sunday   ,169116
loyalty,1.0,Monday   ,199962
loyalty,2.0,Tuesday  ,202496
loyalty,3.0,Wednesday,202199
loyalty,4.0,Thursday ,204222
loyalty,5.0,Friday   ,209315
loyalty,6.0,Saturday ,187920
railway,0.0,Sunday   ,272207
railway,1.0,Monday   ,320958
railway,2.0,Tuesday  ,329800
railway,3.0,Wednesday,320811
railway,4.0,Thursday ,320118
railway,5.0,Friday   ,322073
railway,6.0,Saturday ,285675
