"project","date_part","num"
aviata_air,9,256162
aviata_air,11,237500
aviata_air,22,11962
aviata_air,18,147350
aviata_air,5,225970
aviata_air,1,21785
aviata_air,6,248635
aviata_air,10,247749
aviata_air,8,257461
aviata_air,15,239550
aviata_air,14,227865
aviata_air,17,197054
aviata_air,3,107675
aviata_air,4,175320
aviata_air,23,9613
aviata_air,19,79865
aviata_air,20,40885
aviata_air,12,223696
aviata_air,7,249860
aviata_air,2,49663
aviata_air,13,219718
aviata_air,16,236842
aviata_air,21,20918
aviata_air,0,11813
chocofood,7,270067
chocofood,8,241321
chocofood,4,70258
chocofood,12,291975
chocofood,10,217107
chocofood,3,17887
chocofood,19,18688
chocofood,17,79189
chocofood,20,6392
chocofood,11,240991
chocofood,16,141733
chocofood,6,258039
chocofood,14,294571
chocofood,23,326
chocofood,5,169949
chocofood,15,222244
chocofood,9,220167
chocofood,13,326609
chocofood,2,480
chocofood,18,38992
chocofood,21,1207
chocofood,22,512
chocofood,0,208
chocofood,1,193
chocolife,18,142860
chocolife,1,19179
chocolife,19,138825
chocolife,6,4063
chocolife,16,145390
chocolife,12,163215
chocolife,15,152275
chocolife,4,2514
chocolife,9,72531
chocolife,22,80909
chocolife,10,117253
chocolife,2,9511
chocolife,11,149884
chocolife,7,10084
chocolife,14,163872
chocolife,13,166555
chocolife,20,123762
chocolife,21,103304
chocolife,5,1894
chocolife,0,35249
chocolife,17,143955
chocolife,23,60058
chocolife,8,30577
chocolife,3,4813
chocotravel_air,10,141793
chocotravel_air,13,124856
chocotravel_air,16,127286
chocotravel_air,0,27426
chocotravel_air,1,18105
chocotravel_air,21,38913
chocotravel_air,3,47010
chocotravel_air,2,22570
chocotravel_air,12,136594
chocotravel_air,14,128852
chocotravel_air,6,118209
chocotravel_air,20,46660
chocotravel_air,8,113943
chocotravel_air,17,109944
chocotravel_air,5,95712
chocotravel_air,18,91384
chocotravel_air,15,131377
chocotravel_air,19,62216
chocotravel_air,11,145239
chocotravel_air,7,101716
chocotravel_air,9,130083
chocotravel_air,4,74891
chocotravel_air,22,31955
chocotravel_air,23,25001
loyalty,13,673516
loyalty,18,581846
loyalty,21,359951
loyalty,1,29493
loyalty,0,50903
loyalty,14,541275
loyalty,16,490752
loyalty,2,14429
loyalty,6,18055
loyalty,12,561712
loyalty,5,2720
loyalty,11,421481
loyalty,8,360360
loyalty,9,398539
loyalty,3,6976
loyalty,15,488943
loyalty,10,376500
loyalty,17,502285
loyalty,20,472111
loyalty,23,101420
loyalty,19,549661
loyalty,22,219231
loyalty,4,3741
loyalty,7,120246
railway,9,537258
railway,13,524764
railway,1,80083
railway,5,512459
railway,11,491945
railway,16,556851
railway,22,20752
railway,2,156399
railway,18,316686
railway,0,30558
railway,3,287838
railway,21,35727
railway,8,567950
railway,6,547497
railway,12,495856
railway,4,422877
railway,14,559050
railway,20,72313
railway,19,153132
railway,17,411738
railway,7,560661
railway,15,585016
railway,10,508308
railway,23,20187
