"project","date_par","num"
aviata_air,0,2181
aviata_air,1,1270
aviata_air,2,717
aviata_air,3,356
aviata_air,4,171
aviata_air,5,147
aviata_air,6,180
aviata_air,7,389
aviata_air,8,1658
aviata_air,9,3040
aviata_air,10,3056
aviata_air,11,3665
aviata_air,12,4206
aviata_air,13,4191
aviata_air,14,4264
aviata_air,15,4244
aviata_air,16,4147
aviata_air,17,4069
aviata_air,18,3619
aviata_air,19,3373
aviata_air,20,3212
aviata_air,21,3374
aviata_air,22,3340
aviata_air,23,3150
chocofood,0,6115
chocofood,1,3544
chocofood,2,1372
chocofood,3,239
chocofood,4,100
chocofood,5,42
chocofood,6,27
chocofood,7,26
chocofood,8,63
chocofood,9,1774
chocofood,10,6884
chocofood,11,15969
chocofood,12,24610
chocofood,13,26944
chocofood,14,23479
chocofood,15,20933
chocofood,16,19835
chocofood,17,21429
chocofood,18,26224
chocofood,19,31051
chocofood,20,29180
chocofood,21,22982
chocofood,22,16499
chocofood,23,10788
chocolife,0,368
chocolife,1,243
chocolife,2,142
chocolife,3,86
chocolife,4,33
chocolife,5,19
chocolife,6,35
chocolife,7,97
chocolife,8,239
chocolife,9,571
chocolife,10,955
chocolife,11,1252
chocolife,12,1497
chocolife,13,1637
chocolife,14,1652
chocolife,15,1535
chocolife,16,1445
chocolife,17,1483
chocolife,18,1482
chocolife,19,1679
chocolife,20,1485
chocolife,21,1228
chocolife,22,877
chocolife,23,646
chocotravel_air,0,168
chocotravel_air,1,102
chocotravel_air,2,78
chocotravel_air,3,40
chocotravel_air,4,12
chocotravel_air,5,17
chocotravel_air,6,16
chocotravel_air,7,15
chocotravel_air,8,45
chocotravel_air,9,134
chocotravel_air,10,185
chocotravel_air,11,265
chocotravel_air,12,349
chocotravel_air,13,348
chocotravel_air,14,306
chocotravel_air,15,308
chocotravel_air,16,332
chocotravel_air,17,310
chocotravel_air,18,280
chocotravel_air,19,255
chocotravel_air,20,268
chocotravel_air,21,329
chocotravel_air,22,297
chocotravel_air,23,302
digital_rest,0,848
digital_rest,1,529
digital_rest,2,300
digital_rest,3,172
digital_rest,4,78
digital_rest,5,56
digital_rest,6,13
digital_rest,7,39
digital_rest,8,649
digital_rest,9,1913
digital_rest,10,1932
digital_rest,11,3299
digital_rest,12,5410
digital_rest,13,6950
digital_rest,14,5817
digital_rest,15,5871
digital_rest,16,5427
digital_rest,17,5587
digital_rest,18,6489
digital_rest,19,6976
digital_rest,20,6580
digital_rest,21,5402
digital_rest,22,4115
digital_rest,23,2418
lensmark,0,46
lensmark,1,26
lensmark,2,8
lensmark,3,4
lensmark,4,8
lensmark,5,2
lensmark,6,7
lensmark,7,16
lensmark,8,47
lensmark,9,113
lensmark,10,118
lensmark,11,146
lensmark,12,120
lensmark,13,111
lensmark,14,131
lensmark,15,101
lensmark,16,83
lensmark,17,91
lensmark,18,73
lensmark,19,66
lensmark,20,71
lensmark,21,64
lensmark,22,81
lensmark,23,72
loyalty,0,915
loyalty,1,496
loyalty,2,262
loyalty,3,130
loyalty,4,52
loyalty,5,49
loyalty,6,48
loyalty,7,934
loyalty,8,9973
loyalty,9,18306
loyalty,10,17502
loyalty,11,17828
loyalty,12,21470
loyalty,13,24717
loyalty,14,19021
loyalty,15,15537
loyalty,16,15446
loyalty,17,14411
loyalty,18,14316
loyalty,19,13327
loyalty,20,12205
loyalty,21,9740
loyalty,22,6584
loyalty,23,3193
railway,0,1009
railway,1,559
railway,2,289
railway,3,133
railway,4,95
railway,5,64
railway,6,86
railway,7,185
railway,8,412
railway,9,756
railway,10,1128
railway,11,1460
railway,12,1625
railway,13,1636
railway,14,1787
railway,15,1647
railway,16,1618
railway,17,1570
railway,18,1445
railway,19,1469
railway,20,1588
railway,21,1708
railway,22,1680
railway,23,1289
ryadom,0,9
ryadom,1,17
ryadom,2,2
ryadom,3,3
ryadom,4,6
ryadom,6,2
ryadom,7,1
ryadom,8,12013
ryadom,9,18879
ryadom,10,25103
ryadom,11,28355
ryadom,12,29271
ryadom,13,28341
ryadom,14,25929
ryadom,15,25947
ryadom,16,27455
ryadom,17,29054
ryadom,18,32387
ryadom,19,34595
ryadom,20,32789
ryadom,21,28921
ryadom,22,22872
ryadom,23,55
