"project","date_par","num"
aviata_air,6,3059
aviata_air,7,5633
aviata_air,8,12308
aviata_air,9,25922
aviata_air,10,42148
aviata_air,11,54030
aviata_air,12,58794
aviata_air,13,58504
aviata_air,14,60563
aviata_air,15,60451
aviata_air,16,58454
aviata_air,17,55990
aviata_air,18,51696
aviata_air,19,50930
aviata_air,20,52401
aviata_air,21,54679
aviata_air,22,53936
aviata_air,23,45990
aviata_air,0,33549
aviata_air,1,19202
aviata_air,2,10063
aviata_air,3,5243
aviata_air,4,3148
aviata_air,5,2508
chocofood,6,2
chocofood,7,7
chocofood,8,4
chocofood,9,7653
chocofood,10,28363
chocofood,11,61484
chocofood,12,95712
chocofood,13,104532
chocofood,14,90941
chocofood,15,81663
chocofood,16,78165
chocofood,17,83749
chocofood,18,101117
chocofood,19,118881
chocofood,20,112645
chocofood,21,89904
chocofood,22,65179
chocofood,23,42548
chocofood,0,24994
chocofood,1,13192
chocofood,2,4618
chocofood,3,131
chocofood,5,3
chocolife,0,4377
chocolife,1,2359
chocolife,2,1257
chocolife,3,672
chocolife,4,339
chocolife,5,276
chocolife,6,371
chocolife,7,1128
chocolife,8,3429
chocolife,9,8088
chocolife,10,13668
chocolife,11,17801
chocolife,12,20474
chocolife,13,21224
chocolife,14,21173
chocolife,15,19509
chocolife,16,18099
chocolife,17,17337
chocolife,18,17756
chocolife,19,18294
chocolife,20,16727
chocolife,21,14092
chocolife,22,10676
chocolife,23,7690
chocotravel_air,6,483
chocotravel_air,7,961
chocotravel_air,8,2358
chocotravel_air,9,7351
chocotravel_air,10,12074
chocotravel_air,11,14761
chocotravel_air,12,15941
chocotravel_air,13,14106
chocotravel_air,14,15834
chocotravel_air,15,16630
chocotravel_air,16,16718
chocotravel_air,17,15579
chocotravel_air,18,12621
chocotravel_air,19,10286
chocotravel_air,20,9842
chocotravel_air,21,9961
chocotravel_air,22,9719
chocotravel_air,23,7837
chocotravel_air,0,5914
chocotravel_air,1,3292
chocotravel_air,2,1780
chocotravel_air,3,967
chocotravel_air,4,514
chocotravel_air,5,404
digital_rest,0,822
digital_rest,1,512
digital_rest,2,292
digital_rest,3,169
digital_rest,4,73
digital_rest,5,54
digital_rest,6,13
digital_rest,7,38
digital_rest,8,643
digital_rest,9,1891
digital_rest,10,1901
digital_rest,11,3238
digital_rest,12,5281
digital_rest,13,6787
digital_rest,14,5670
digital_rest,15,5729
digital_rest,16,5281
digital_rest,17,5406
digital_rest,18,6299
digital_rest,19,6781
digital_rest,20,6382
digital_rest,21,5218
digital_rest,22,3991
digital_rest,23,2361
lensmark,0,46
lensmark,1,25
lensmark,2,8
lensmark,3,4
lensmark,4,8
lensmark,5,2
lensmark,6,7
lensmark,7,16
lensmark,8,47
lensmark,9,110
lensmark,10,117
lensmark,11,144
lensmark,12,118
lensmark,13,109
lensmark,14,130
lensmark,15,99
lensmark,16,82
lensmark,17,91
lensmark,18,73
lensmark,19,66
lensmark,20,71
lensmark,21,64
lensmark,22,80
lensmark,23,65
loyalty,0,893
loyalty,1,490
loyalty,2,261
loyalty,3,130
loyalty,4,52
loyalty,5,48
loyalty,6,47
loyalty,7,898
loyalty,8,9728
loyalty,9,17958
loyalty,10,17153
loyalty,11,17376
loyalty,12,21006
loyalty,13,24296
loyalty,14,18752
loyalty,15,15374
loyalty,16,15288
loyalty,17,14178
loyalty,18,14019
loyalty,19,13080
loyalty,20,12066
loyalty,21,9637
loyalty,22,6515
loyalty,23,3149
railway,6,9266
railway,7,23335
railway,8,42664
railway,9,75596
railway,10,109221
railway,11,134583
railway,12,143739
railway,13,147761
railway,14,147604
railway,15,139050
railway,16,130046
railway,17,128124
railway,18,131671
railway,19,138389
railway,20,146366
railway,21,151632
railway,22,143265
railway,23,105159
railway,0,81046
railway,1,40282
railway,2,19067
railway,3,10182
railway,4,6026
railway,5,6025
ryadom,0,9
ryadom,1,17
ryadom,2,2
ryadom,3,3
ryadom,4,6
ryadom,6,2
ryadom,7,1
ryadom,8,11844
ryadom,9,18534
ryadom,10,24618
ryadom,11,27739
ryadom,12,28695
ryadom,13,27726
ryadom,14,25353
ryadom,15,25359
ryadom,16,26898
ryadom,17,28454
ryadom,18,31711
ryadom,19,33854
ryadom,20,32044
ryadom,21,28202
ryadom,22,22378
ryadom,23,54
